Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Dub2a.1,1176.129415,584.2032808,43.16353887,375.0150396,41.68900804,33.91420912,119.3365045
B03,Epc1.1,1030.032011,353.5074703,38.92180095,521.2673074,47.92654028,40.3436019,170.8662395
B04,Epc2.1,888.5413679,540.0438483,36.71205245,452.3589986,45.13363591,29.95461422,110.9031
B05,Ep400.1,793.2033465,384.1341675,30.36697248,466.4769307,46.60550459,25.27522936,97.89918895
B06,Ehmt1.1,1256.955977,970.8817055,30.453149,315.0826321,39.70814132,23.19508449,115.7144235
B07,Fbxo44.1,876.3281616,590.7288198,32.39740821,413.3462696,44.4924406,26.27789777,91.49301645
B08,Ezh1.1,821.2125721,930.2165057,44.44444444,2024.204091,55.55555556,44.44444444,150.6635532
B09,Elp4.1,1033.219033,748.2949084,28.99291896,283.4803761,35.9166011,18.80409127,98.58534133
B10,Eed.1,1268.482216,680.7870808,21.81628392,302.5391705,38.30897704,24.11273486,114.4866611
B11,Ezh2.1,1078.538161,1210.653183,34.59119497,172.0691383,33.96226415,10.6918239,77.96800447
C02,Ezh1.2,904.9370225,310.5892374,35.31998046,396.2761106,43.23400098,38.88617489,80.21131553
C03,Ehmt2.1,1103.05735,500.492511,34.47513812,388.8144143,43.70165746,33.03867403,113.5799074
C04,Dub2a.2,1237.663497,604.9712137,28.8981289,338.6691439,40.33264033,30.35343035,119.1456091
C05,Ezh2.2,1174.521925,405.1127137,32.50620347,525.0070879,47.53633463,31.12371499,124.9287631
C06,Ercc5.1,1124.526066,684.4154062,35.45734841,333.6547744,42.60020555,31.03802672,107.8134555
C07,Epc2.2,1154.580403,469.8748167,24.40381558,456.3837875,44.27662957,31.00158983,94.09912992
C08,Ehmt1.2,1047.883265,916.7362418,26.15876399,397.8975857,42.40809803,22.64251465,108.5265451
C09,Fbxl19.1,1061.016087,713.3711889,27.35085945,317.2192206,38.06875632,23.50859454,90.98084073
C10,Epc1.2,997.5680738,989.2213117,23.88235294,195.9999989,32.35294118,19.88235294,84.01185181
C11,Ep300.1,1452.508084,162.5280135,40,42.662631,20,0,24.24088186
D02,Eed.2,929.6743772,449.387061,29.04009721,462.9911113,47.63061968,32.56379101,116.0124991
D03,Fbxl19.2,1196.255575,792.9633681,35.40065862,242.2587042,35.12623491,26.83863886,130.1102983
D04,Epc1.3,786.4403157,534.2737311,35.21212121,540.9757807,48.06060606,29.27272727,138.7895934
D05,Elp3.1,938.3872733,641.3951002,24.80705623,272.149324,38.8092613,29.27232635,96.29840169
D06,Ehmt2.2,1070.159729,515.523747,23.10469314,354.3357148,41.2755716,32.79181709,121.424669
