,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: 3,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:29:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
B02,Brwd1.1,B02,Sample,19328,3555,3585,2134,926.1569698,578.7395043,655.1933056,225.2363862,513.0002605,465.5267306,209.9828008,34.37412096,33.94700139,30.22492971,20.71005917,5272.265447,703.8763057,627.581456,2936.930876,95.97749648,51.07391911,46.53233365,82.93491124,51.44866385,32.46861925,30.92783505,36.61538462,909.2227378,178.0703441,164.4200032,518.1770538
B03,Cbx7.1,B03,Sample,17023,979,1258,3777,1145.639009,729.3166837,641.3930482,221.4506334,476.2126607,420.027763,178.4661792,24.10623085,32.90937997,30.4739211,22.20418104,4724.634086,520.1678989,524.129916,3205.116447,94.79060266,44.43561208,42.91765952,84.72701441,48.11031665,32.27344992,30.28858883,42.49035924,875.7097748,178.4480998,177.5168831,646.7914103
B04,Cbx8.1,B04,Sample,15997,3245,3241,1460,1137.291107,712.7456364,647.9029934,244.7182948,570.7679101,336.6188066,190.1051054,29.02927581,34.64979944,31.30136986,21.09445277,4917.217959,543.4716156,634.6035821,2914.317125,94.32973806,45.54149954,47.26027397,82.02398801,50.01540832,31.50262265,30.34246575,40.7946027,905.0081307,176.1633704,170.2464584,575.347191
B05,Cbx6.1,B05,Sample,19371,616,781,4798,1467.665962,892.3243257,717.6553454,444.2620943,1154.997697,564.3537633,225.1457345,23.7012987,35.21126761,28.86619425,24.34996189,4709.649623,352.3279118,526.0481895,3954.818752,92.69480519,38.41229193,44.56023343,88.54916575,50.16233766,33.93085787,32.38849521,48.81002795,721.0764902,165.9347598,156.1369089,752.7252297
B06,Carm1.1,B06,Sample,17479,3283,3288,1871,1005.142605,727.7394818,735.3019867,188.2812704,553.6775915,520.8247213,185.3819402,23.63691745,29.47080292,27.31159808,19.52217529,4978.686722,634.9401246,449.1596307,3194.13535,93.93847091,49.39172749,41.47514698,83.83051742,43.34450198,29.95742092,28.59433458,42.47624076,769.2822992,160.3990875,141.3605791,576.3308489
B07,Chd2.1,B07,Sample,18609,5221,3822,1387,1123.132562,636.1740844,647.2931631,271.8717367,729.8189198,516.7184992,218.5543158,21.26029496,26.47828362,26.96467195,18.73592554,4639.373539,378.4642906,433.7724,2711.874044,93.23884313,39.37728938,39.29343908,81.27908722,46.37042712,30.79539508,25.16222062,36.94640444,768.6944887,126.4277616,128.8149653,483.8337157
B08,Chaf1b.1,B08,Sample,15455,3349,2624,1641,1474.811879,983.1248383,658.4302011,466.5451189,897.5837142,498.5465554,182.5801106,21.76769185,26.25762195,28.58013406,23.03649197,5077.112661,567.9732247,489.013774,3769.548849,93.25171693,45.99847561,41.37720902,87.43054513,44.4908928,27.24847561,25.89884217,43.26475447,917.4722765,200.520552,139.9241793,749.9928013
B09,Cbx4.1,B09,Sample,16956,1789,1317,3052,1126.727197,738.4450886,612.5734085,235.5974406,896.1542,545.2050031,197.0559465,26.43935159,29.38496583,27.22804718,20.64274237,4155.887108,531.2296346,369.1583524,3118.656854,91.50363331,44.57099468,37.6802097,83.7814676,37.50698714,26.65148064,22.83748362,35.43652919,816.4913153,178.6971959,125.6364187,582.7777307
B10,Brwd3.1,B10,Sample,18324,1295,1032,4047,1317.192765,900.8166558,626.9226897,560.5219704,1729.969463,646.6217554,204.9589241,30.57915058,32.65503876,24.90733877,21.54471545,4666.645583,359.9424405,345.1583011,3851.819774,92.2007722,37.8875969,37.36100815,87.88802661,37.76061776,25.48449612,21.67037312,39.19992609,592.1515423,144.8355516,121.0466594,689.0384045
B11,Chd1.1,B11,Sample,17805,3595,2537,1915,1103.402335,616.7171801,613.6151595,221.4836771,682.1221849,614.906909,230.4593816,23.39360223,25.26606228,22.61096606,20.53721995,4625.301224,413.9783583,328.0595687,3326.188825,93.21279555,39.92905006,34.67362924,85.46133462,38.19193324,22.11273157,20.93994778,33.43772585,760.6465145,142.6368692,113.6915038,552.6249389
C02,Chaf1b.2,C02,Sample,18573,270,516,5159,1912.474709,1192.406767,720.6821254,844.3254611,1932.73316,420.1204786,169.4732363,20,35.07751938,31.24636557,23.34805654,5336.840799,415.2347223,570.6590625,3688.516873,90,36.62790698,44.54351619,87.5795053,58.14814815,27.13178295,31.84725722,44.75265018,789.403821,228.2191047,165.899839,723.4631207
C03,Cbx1.1,C03,Sample,15874,810,1316,3861,1269.37123,940.7297412,707.7782293,147.0285221,338.8590754,376.3748975,153.063779,24.07407407,30.54711246,25.66692567,19.04427266,4907.157714,624.3013163,491.254845,3359.68815,95.43209877,49.62006079,43.2012432,86.24970719,61.85185185,43.61702128,35.37943538,48.88732724,939.4111825,193.6959563,168.1257999,663.6648031
C04,Brwd1.2,C04,Sample,16937,1034,1621,4021,1133.013576,796.4362646,667.1914779,230.2757036,633.0979555,385.7701463,163.1219584,29.78723404,37.1375694,32.00696344,23.40185227,4538.552625,521.3240518,502.2419549,3427.533056,92.0696325,44.66378779,43.02412335,86.68398464,54.54545455,30.72177668,31.65879135,46.64558392,919.9789006,187.5376611,165.8971176,711.5138302
C05,Chd1.2,C05,Sample,16019,1442,1702,3420,1151.798683,763.1104492,639.9416674,260.5601769,750.9814605,339.9714057,174.2255735,31.69209431,39.01292597,29.00584795,23.96049262,4650.404901,586.034085,454.1870371,3251.475656,92.92649098,47.06227967,41.34502924,84.9164736,46.25520111,27.6733255,31.84210526,49.10376783,1107.367676,223.8635195,159.4344765,707.7045476
C06,Chaf1a.1,C06,Sample,18809,1167,1772,4225,1924.090609,1196.573844,726.9407683,721.9853282,1353.897851,406.7943459,162.4064424,11.13967438,26.52370203,29.58579882,23.98397812,5018.231726,341.5981746,432.4765596,3769.030104,91.60239931,34.1986456,40.85207101,88.29620946,48.92887746,24.3227991,31.10059172,49.71668621,669.8991615,169.8689398,154.3058276,762.1063304
C07,Cbx8.2,C07,Sample,17667,3718,3847,2065,1337.503079,953.5659071,691.0279944,249.3070967,668.6372715,325.6971859,147.0036797,29.23614847,33.74057707,29.29782082,24.9887235,4991.358889,498.2567796,448.436643,3201.590408,93.4373319,44.91811801,41.59806295,84.60381897,53.73856912,29.13958929,33.12348668,46.7899564,918.8344811,185.2224559,145.3751602,647.2787537
C08,Carm1.2,C08,Sample,17804,4170,3520,1841,1144.620267,670.4773387,696.3895463,233.767561,693.1902005,486.6883175,188.7408406,27.86570743,33.52272727,28.46279196,22.92513059,5607.449478,549.7057661,516.7237047,3343.232387,94.74820144,46.16477273,44.16078218,85.02611724,47.6498801,30.17045455,30.09234112,45.47301219,921.3220354,172.5958089,147.5265479,670.1123369
C09,Chd1l.1,C09,Sample,14332,1306,1444,2828,1342.872373,827.8753895,694.5115267,431.6417169,1111.374077,509.3999172,219.3877783,31.39356815,36.84210526,26.37906648,23.58465954,6864.36927,652.5873393,452.9543882,3706.739813,95.86523737,47.09141274,41.86704385,86.75971824,60.71975498,30.5401662,27.79349364,45.69527785,684.3311706,148.9921942,141.9063126,705.0905109
