Well,shRNA,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A of Amet+GFP+_CD127
E02,Smarca4.1,425.5889849,373.2496404,27.37611698,607.6004437,50.36555646,29.32575142,170.5026157
E03,Smarca4.2,388.0094711,289.1599972,32.35919235,252.0127019,36.39744952,19.39426142,121.4225257
E04,Smarca4.3,406.1737576,309.0143829,34.1595092,373.3100096,44.49079755,26.33128834,135.8109423
E05,Smarca4.4,475.2557539,229.9232582,29.44550669,368.2446527,42.48565966,33.42256214,115.1730731
E06,Klf2.1,541.1966472,296.0045702,23.67218732,403.6734565,42.14734437,37.12164477,110.077891
E07,Klf2.2,644.9839023,226.5726492,30.99801718,531.1687606,48.84335757,40.4494382,139.6951062
E08,Klf2.3,587.9274443,241.4605856,34.92636844,487.1431067,47.65212559,40.56682412,134.6607944
E09,Klf2.4,730.0377718,284.720026,25.89562764,792.8408217,55.48660085,48.37799718,167.5695989
E10,shCd4.4,459.2320344,794.204884,35.21767381,344.9476171,42.20272904,35.57504873,128.6679083
E11,shCd4.4,1089.137877,447.8079858,29.71555376,3489.11507,90.35707081,51.3818842,663.7043708
F02,Runx3.1,323.2090198,191.0121574,31.64991419,289.9196793,40.1569012,29.78671243,83.51247112
F03,Runx3.2,884.2940703,405.171541,31.46067416,1685.278692,73.87640449,30.6741573,297.847357
F04,Runx3.3,744.7419692,477.5862682,29.62154294,1895.671033,74.23580786,31.44104803,310.6970109
F05,empty,263.6190191,611.4813922,33.33333333,152.0506535,25,12.5,151.9157856
F06,Sp140.1,585.1199236,493.230982,32.32233125,401.6859088,44.5435623,31.87630092,135.916322
F07,Sp140.2,690.8573467,554.1100444,39.0534042,222.8692212,34.57352569,31.96659074,100.1338798
F08,Sp140.3,453.0693708,352.5760413,35.83948339,322.6431769,39.99077491,32.88745387,114.6300135
F09,Sp140.4,580.524441,147.1898715,29.61321515,541.4495249,50.24174053,39.40370669,151.187088
F10,empty,348.5563018,857.4473817,47.61904762,226.1745152,42.85714286,19.04761905,92.33585355
F11,empty,619.2307976,281.3696937,8,1366.288225,76,24,228.9545159
