Well,shRNA,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,Amet+CD62L+ as % of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+CXCR3+ as % of Amet+,Amet+CD103+ as % of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Fbxw9.1,1969.518601,94.84214237,29.27631579,4294.924784,90.24122807,38.9254386,467.908155
B03,Hcfc1.1,1653.338363,56.98378678,33.26572008,5915.414329,93.30628803,46.04462475,481.7404135
B04,Hdac1.1,1778.728823,58.32047906,27.16366752,4053.170911,90.05998286,58.44044559,605.6897021
B05,Hat1.1,1812.249133,77.8540598,23.48218766,5234.565324,95.48419468,45.70998495,515.8184194
B06,Gadd45a.1,1221.031251,74.23972563,26.68863262,4985.023826,93.41021417,41.3509061,596.9908344
B07,Hdac6.1,1931.039476,61.66085529,19.62616822,5280.259506,95.3271028,33.64485981,539.4065782
B08,Hdac2.1,1750.763114,76.66662368,18.04820694,4088.78467,91.00529101,55.67313345,584.937737
B09,Gtf2f1.1,1970.833037,172.8976955,21.82361734,4644.888923,92.07772795,38.26606876,464.1252975
B10,Fkbp1a.1,1773.191821,121.2978911,19.2281652,3870.382802,90.85985105,30.12863913,382.1696508
B11,Hdac3.1,1891.171827,251.6031126,25.25951557,2624.756234,82.69896194,20.41522491,274.5724804
C02,Hdac2.2,1496.358447,84.77467949,28.63636364,4230.310683,91.47727273,42.27272727,546.7697251
C03,Gadd45b.1,1618.738815,63.97604345,29.66442953,4969.988634,93.2885906,48.72483221,639.3119254
C04,Fbxw9.2,1969.264682,160.1468891,26.15830116,4978.558577,92.90540541,46.33204633,417.5034269
C05,Hdac3.2,1678.201042,579.475481,18.3745583,3752.054793,83.74558304,26.50176678,285.1424822
C06,Hdac10.1,1790.488265,142.8036012,26.30744849,4059.313684,87.63866878,37.71790808,443.8365135
C07,Hdac1.2,1648.634301,90.27130561,18.93287435,4797.173703,94.49225473,43.88984509,475.4322856
C08,Gadd45a.2,1762.178183,140.0110149,20.10582011,4663.687936,93.12169312,43.28042328,431.4540821
