Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Sirt1.1,11171.18938,1160.48292,27.20496894,12.04968944,6.122804729,63.08343959
B03,Smarca5.1,11520.36416,3046.463048,37.1875,18.4375,10.82688255,54.43247516
B04,Smarcc2.1,13796.73344,1678.343359,23.56687898,10.61571125,6.827404443,87.94680898
B05,Smarca4.1,4051.191145,1780.864589,21.4335421,18.64996521,10.13134585,115.7911119
B06,Sirt4.1,8462.746127,2292.843457,30.26819923,14.55938697,9.526019413,78.69776077
B07,Smyd3.1,10417.26669,1386.271771,27.8506559,10.2926337,6.111577528,54.65027906
B08,Smarcd3.1,12835.35086,1806.304102,23.97660819,8.888888889,6.654900846,80.59541084
B09,Sirt7.1,10704.53215,1690.097666,20.32693674,12.01137171,7.253427327,42.17046815
B10,Sirt3.1,8346.881504,1679.237887,23.74020157,11.98208287,8.679812368,54.56154724
B11,Smarce1.1,10443.54366,1379.320323,23.85416667,9.375,7.076144788,47.49250923
C02,Smarcd3.2,10649.3993,2162.753067,27.03003337,15.57285873,8.294173295,77.43922117
C03,Sirt5.1,8671.229903,1871.480131,25.39242844,12.55771006,8.299827789,68.24377947
C04,Sirt1.2,11062.41725,1641.779851,29.375,12.39583333,6.700855067,73.07888383
C05,Smarce1.2,7003.626313,1916.807422,25.625,13.75,9.875107446,197.8998142
C06,Smarcd1.1,9870.083021,1558.730601,23.47457627,12.54237288,6.022828099,46.04384843
C07,Smarcc2.2,11810.90954,2586.335077,23.93272962,10.6080207,6.997895621,96.40272926
C08,Sirt4.2,8707.736727,2399.457693,24.56395349,12.93604651,7.717698804,38.7536071
C09,Smyd2.1,11560.49452,1363.803468,28.28282828,10.66217733,7.05267342,66.44367437
C10,Smarca5.2,11721.38777,2036.580619,25.60240964,14.45783133,7.783631836,59.09145707
C11,Smarca1.1,9481.217431,1591.982076,21.77606178,8.88030888,8.520676137,60.53795017
D02,Sirt3.2,9720.458775,1648.620441,27.68959436,16.57848325,8.664834347,63.08100527
D03,Smyd2.2,10514.22635,1881.178635,30.10664479,12.63330599,6.188174112,72.17057325
D04,Smarca5.3,10204.67969,1767.136226,31.96544276,18.57451404,7.596300119,59.3121231
D05,Sirt6.1,10311.44642,1766.944184,29.5990566,15.68396226,9.42857104,65.30377009
D06,Sirt5.2,9445.906338,1582.431555,30.32915361,12.53918495,7.842219247,77.88266379
D07,Smyd2.3,4579.164797,1251.292861,29.41176471,41.17647059,134.405468,137.3745265
D08,Smarcd1.2,6842.933801,1433.155199,29.79493366,11.70084439,8.25046743,34.26873146
D09,Sirt7.2,5768.22585,1754.582504,27.43521001,24.48614835,9.737423484,59.18776721
D10,Sirt1.3,10962.6301,1036.426063,30.95477387,12.7638191,6.730130139,53.36008623
D11,Smyd3.2,10273.19776,1982.808484,29.743083,9.881422925,7.825810147,60.95701156
E02,Smarca1.2,10790.68112,1814.848014,28.6407767,17.2815534,7.269732001,70.2460608
E03,Smarca4.2,5715.339352,1905.633801,26.13480055,16.43741403,9.977850488,146.4126321
E04,Sirt1.4,12239.27771,1565.439365,26.20889749,13.05609284,5.939374433,64.17880402
E05,Smarcd3.3,11093.71221,2603.68905,24.26470588,9.926470588,7.329515025,76.84137627
E06,Smarcc2.3,11225.21089,1819.37384,34.43496802,10.76759062,6.900613616,105.3498333
E07,Sirt6.2,9159.403463,1606.403601,31.57132513,7.820419986,7.332883246,54.98832878
E08,Sirt3.3,10944.17503,1813.879724,28.91183479,7.942811755,6.647830016,58.52572382
E09,Smarce1.3,6459.808284,1414.702666,28.83079158,10.53013798,10.25260556,153.2230455
E10,Smarcd1.3,9095.766447,1904.53444,39.39393939,7.760532151,6.037188163,30.98040559
E11,Sirt7.3,7650.865668,2839.893106,64,8,23.23488669,26.66569147
F02,Sirt4.3,11902.719,2019.206378,25.78796562,15.32951289,7.115395343,79.66561467
F03,Smyd3.3,12726.59419,1303.723534,31.20805369,19.79865772,6.883046575,55.9607099
F04,Smarcc2.4,10668.17596,1981.269033,36.73913043,14.45652174,7.636837892,96.23347475
F05,Sirt6.3,9973.947523,2341.425026,37.69230769,14.23076923,11.08116028,81.80087584
F06,Sirt5.3,13468.907,1747.270934,30.32727273,13.09090909,7.643050243,114.7730367
F07,Smarcd3.4,12961.50411,1366.293782,34.17412531,9.764035801,6.114926814,78.87413438
F08,Smarca4.3,5013.080847,1725.642568,24.02707276,13.36717428,10.1202133,84.57944587
