,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: control 100 p1,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:42:25 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
B02,Bptf.1,B02,Sample,3587,29,21,14909,10124.9949,7837.151606,4959.082644,4119.449603,1720.848725,2204.262854,6190.587525,3832.241676,30.3038751,38.0952381,13.79310345,20.09395072,5.018120992,241.6666667,28.57142857,41.37931034,0.836353499,3.965034361,5.975977553,22.07415803,31.51158543,45.36733993,52.95606187
B03,Bptf.2,B03,Sample,1763,493,561,7496,10850.06011,9977.776534,4039.531781,3655.761027,2002.281582,2627.774852,4706.431134,4284.015917,35.5076574,31.55080214,15.01014199,22.38504295,5.161656268,272.3756906,12.29946524,36.71399594,0.680657969,4.248979646,7.424011074,15.30637017,48.00513371,66.31306409,54.6852239
B04,Bptf.3,B04,Sample,1100,1263,769,6980,8938.635275,11216.32875,4084.931177,3135.388994,2067.252547,2201.023069,3985.18115,4095.949025,33.09090909,30.94928479,18.92319873,25.6433008,4.363636364,361.8911175,11.70351105,27.63262074,0.909090909,4.488155605,5.676680616,15.92021173,46.89469035,69.69660332,58.57220117
B05,Bptf.4,B05,Sample,585,2063,1039,7468,10552.64577,6711.929793,3379.891633,4295.507215,1635.47624,2511.544778,4217.886452,3909.092947,36.75213675,28.00769971,18.27435773,22.76481149,2.564102564,302.4926686,9.720885467,33.05865245,0.341880342,3.705790944,8.661347942,16.37478598,40.2934216,80.41148915,54.23135217
B06,Whsc1.1,B06,Sample,1033,1936,969,9254,10079.27374,10742.28451,4190.350216,3667.109496,2308.443224,1129.771879,2828.388339,4419.043917,32.23620523,27.76057792,16.73553719,24.44924406,4.259438529,395.1020408,8.978328173,25.30991736,0.774443369,4.198382959,5.876298268,16.25548077,36.39908216,80.27743724,55.65364374
B07,Whsc1.2,B07,Sample,1853,1884,987,11515,9795.234975,9243.000752,3834.908015,3423.653755,1957.052292,1377.953216,2875.495306,4108.420841,34.91635186,24.31610942,15.6581741,24.27071179,3.399892067,461.7647059,12.66464032,21.65605096,0.485698867,4.392436539,6.783867774,16.14576189,34.97627807,60.91574236,49.47838675
B08,Whsc1.3,B08,Sample,1285,2119,1319,10982,8943.915617,11112.28139,4472.563029,3537.759853,2225.982419,619.6445392,2168.021659,4482.636893,34.0077821,27.67247915,16.56441718,22.54559565,5.13618677,339.04,12.43366187,29.49504483,0.778210117,5.498112675,7.007853778,19.96891979,37.16881346,71.25139132,51.72498445
B09,Whsc1.4,B09,Sample,932,2676,1308,9753,10171.39397,9298.492051,3732.458174,3752.006799,2092.053703,556.9186841,1697.64616,4281.239235,33.36909871,27.44648318,16.03139013,24.79053721,5.25751073,339.5939086,10.24464832,29.44693572,0.965665236,4.003517353,6.279053939,16.60378926,45.83399376,87.85133739,63.21338145
B10,shCd4.1,B10,Sample,1352,1843,1358,9916,9474.640578,10206.7635,4252.085161,3504.414031,1932.048167,1563.523223,3613.909541,3918.789618,34.9112426,24.96318115,17.47151384,26.54751526,3.846153846,357.1705426,8.8365243,27.99782963,0.443786982,4.117039307,5.417444264,14.85577224,36.87427664,54.00986143,47.18866925
