Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Fbxo17.2,10110.21725,1935.327127,22.83281734,9.055727554,6.634097669,52.23543251
B03,Padi2.1,8176.616291,1658.750883,23.58909321,10.77996195,8.914616028,57.76257343
B04,Paf1.1,4401.628116,1040.356801,34.34343434,13.13131313,11.06657202,70.29699621
B05,Kdm4b.3,6959.391921,1755.773991,25.29129541,10.96641535,9.514255865,45.8469914
B06,Gtf2h1.1,9861.825692,2623.565672,22.42582897,11.08202443,6.336374438,54.37488693
B07,Rnf2.2,8052.967114,3608.351011,24.69387755,10.13605442,8.337920947,75.51136459
B08,Phc3.1,9479.449802,2951.184704,27.5502008,9.477911647,8.701717908,65.74023701
B09,Iws1.1,7338.5192,1490.071429,29.81199642,13.60787825,8.298524426,63.8350793
B10,Fkbp2.3,8465.981057,3192.686786,25.47033285,9.406657019,9.5734395,69.36527945
B11,Phf10.2,10094.56723,1886.952909,23.71475954,9.950248756,8.164744944,64.20254702
C02,Phc3.2,11880.63304,2833.478886,24.72137791,10.23302938,5.807875379,67.23995794
C03,H2afz.2,9166.759888,2418.369632,24.3851019,8.995080815,7.596419366,69.67650878
C04,Fbxo17.3,9435.588117,2939.345029,26.21428571,9.571428571,6.210483091,63.15414515
C05,Phf10.3,11840.64253,2793.498806,34.22519509,14.04682274,8.405102318,115.799045
C06,Parp2.2,10199.96805,2729.281144,27.42980562,12.59899208,7.813291105,98.85570666
C07,Paf1.2,4455.981454,1369.453361,35.93947037,14.88020177,10.45666913,58.59833117
C08,Gtf2h1.2,8765.480497,2477.670036,27.04402516,13.94129979,8.613093095,66.54990415
C09,Prdm16.1,7055.444174,2875.508448,30.71428571,16.78571429,11.64610214,98.94126741
C10,Padi2.2,8724.560702,1978.026197,20.84188912,12.01232033,8.918411471,59.19109255
C11,Jmjd8.2,9857.760044,2619.33256,27.5,9.605263158,7.793185015,68.56661662
D02,Fkbp5.1,12587.41852,1549.638211,16.26686657,12.59370315,6.473853223,58.14849442
D03,Prdm16.2,9594.625502,2258.425484,27.09196355,13.75310688,7.658264138,71.59044045
D04,Padi2.3,7988.282234,2345.299825,28.42965558,12.31757151,9.645997965,88.61558242
D05,Hdac11.3,9289.055098,2377.93707,29.77967306,13.57498223,8.725432382,94.74637601
D06,H2afz.3,5171.963499,3066.465732,28.49056604,20.56603774,13.20084968,77.11737831
D07,Prdm16.3,4329.191609,2117.817283,29.33516107,14.05071967,16.56018135,85.92913951
D08,Parp2.3,4472.328228,2381.143936,35.26315789,15.36842105,13.79782832,104.6974128
D09,Iws1.2,6197.405665,2553.011515,28.91036907,13.00527241,10.53304063,84.43455818
D10,Fkbp2.1,7054.202708,2223.12058,24.18498863,9.93176649,10.426217,76.32569096
D11,Rnf2.3,11263.84138,3829.188329,28.84615385,9.049773756,7.719577731,108.288229
E02,Jmjd8.3,10817.28325,2311.608073,28.86505809,10.72386059,6.993516086,63.29303284
E03,Mecp2.1,7645.863167,2495.906048,22.62082711,9.6163428,8.039274068,58.69852374
E04,Fkbp2.2,9551.668333,2341.499445,34.39693682,7.083599234,7.186653356,64.00606715
E05,Phc3.3,10510.98086,2665.454309,34.82866044,8.348909657,6.99169755,77.94926531
E06,Paf1.3,5508.695104,1518.250996,37.84135241,11.96358908,10.44380093,64.21027826
E07,Hdac5.1,8847.658999,2685.457445,33.56521739,11.56521739,8.589852337,73.86052709
E08,Fkbp5.2,6648.138952,1948.047419,32.06557377,13.57377049,10.37043336,57.58915237
E09,Phf17.1,9259.306764,3120.523511,34.46440452,9.314703925,9.298856562,91.98298375
E10,Phc2.1,8616.073524,2207.422803,24.27138079,9.17343526,9.335417038,54.57796141
E11,Iws1.3,9791.319818,2198.307676,31.17338004,10.74138938,8.605304224,70.45520978
F02,Gtf2h1.3,10692.64091,2646.855816,31.11111111,13.55555556,6.872366938,63.84338115
F03,Satb1.1,10197.88805,2231.580845,27.18446602,12.62135922,9.114652421,94.27136644
F04,Parp2.1,6720.65702,2059.782804,28.85813149,10.51903114,9.297431078,67.76963958
F05,Hdac5.2,9904.1418,2641.218307,26.93726937,11.93111931,8.052868304,71.37246899
F06,Hdac11.1,8604.481393,2215.434226,29.86603625,11.89913318,10.76730965,65.0959873
F07,Phf10.1,11278.28086,3395.005961,34.88843813,12.57606491,6.801249675,94.27473463
F08,Mecp2.2,8611.995715,3065.441893,35.56116015,12.86254729,9.871118913,70.83088064
F09,Kdm4b.1,7285.060208,2592.199213,29.05740609,9.071580439,10.05266613,55.07918157
F10,Hdac11.2,8478.186323,2555.765674,24.82552343,7.377866401,9.921032183,61.79561501
F11,Phf17.2,8525.850793,2509.334775,25.52366175,8.921644686,9.746291916,57.61553366
G02,Phc2.2,9338.55471,1800.740624,28.82882883,9.189189189,9.050875705,62.31577252
G03,Kdm4b.2,9892.932817,2267.045202,31.594906,12.31049121,8.487642115,81.00549996
G04,Fkbp5.3,11141.59931,2323.524213,37.34939759,5.938037866,7.139406273,69.66403122
G05,Satb1.2,8720.702646,3604.68366,35.68357696,7.996560619,9.621473876,56.6975665
G06,Rnf2.1,7928.740107,3314.156913,33.89830508,10.80508475,9.616151158,62.21330364
G07,Hdac5.3,8720.387223,2412.871435,29.98366013,9.232026144,9.691158318,90.97969447
G08,H2afz.1,8668.464489,2260.025183,35.95691798,8.202154101,10.81381953,48.61233746
G09,Padi3,8372.685195,2307.04275,30.49180328,6.147540984,9.353368902,48.12159875
G10,Jmjd8.1,11156.74826,2683.899224,23.87659289,9.255533199,9.530580233,57.94876671
G11,Mecp2.3,9366.386754,2301.078737,31.42105263,6.526315789,11.25603321,62.54213208
