Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Wbp7.1,3181.019318,3238.155098,18.09006211,424.3822076,23.5636646,19.15982762,56.67704041
B03,Arid1b.1,3323.649538,4170.507279,16.25441696,458.4683358,21.81175715,20.19022269,77.16154454
B04,Brd7.2,2605.978076,3420.326391,16.41730691,378.7136294,26.4051759,23.48246808,65.7407068
B05,Actb,2702.597378,3859.783263,9.294722092,170.190779,58.75758991,25.59938208,63.00293664
B06,Wdr82.1,2443.495915,1492.013482,6.613625062,366.9708029,27.25012432,38.37138749,64.692879
B07,Eaf1.1,3604.434047,3874.094957,16.31722881,280.2043423,35.68824066,19.99200189,62.94116694
B08,Cecr2.1,4066.313486,3609.76284,19.89005497,244.0243902,40.97951024,17.44756632,74.98084723
B09,Zmynd11.1,3519.093642,3333.860271,18.30065359,323.8095238,30.88235294,25.25185327,64.43179553
B10,Wdr5.1,4504.37446,3968.689067,16.52298851,233.1658291,42.88793103,23.81435975,90.16146799
B11,Chd7.2,1852.266947,2889.195225,15.6855151,386.5269461,25.87141751,28.13388638,52.03869538
C02,Cecr2.2,5009.971703,4283.966199,16.64935964,498.1034483,20.07615092,16.5125564,53.08849337
C03,Whsc1.1,4792.035584,3700.533186,18.81977671,333.5106383,29.98405104,18.64590261,89.47440773
C04,Wbp7.2,3701.281006,4636.836556,22.79608192,268.9820359,37.17720392,20.04142837,73.88101171
C05,Chd7.3,3182.054696,4233.171086,16.85242978,394.8943662,25.32322782,21.97409007,49.80764161
C06,Brdt.3,4453.909952,4392.471836,18.59956236,322.3985891,31.01750547,20.9488094,82.24149982
C07,Brd7.3,3674.286892,4365.207791,24.31243124,328.7522604,30.4180418,20.42644712,68.25374368
C08,Wdr82.2,2611.934252,1741.996688,9.931113662,405.1162791,24.68427095,32.28916539,72.06079931
C09,Clock.3,2809.414826,3496.512088,23.38079927,343.3753943,29.12264584,23.23117129,83.68782663
C10,Arid1b.2,2509.035683,4196.841311,25.04317789,333.3973129,29.99424295,24.04103865,96.99491659
C11,Zmynd8.1,3027.291559,3040.702617,20.2166065,235.0777935,42.53910951,27.1305275,77.63660876
D02,Wdr5.2,4731.251727,4355.793733,18.49148418,228.3333333,43.79562044,27.98512815,58.80540835
D03,Dpy30.1,4996.942461,3054.847084,30.55555556,304.2253521,32.87037037,17.40789327,48.43459938
D04,Arid1b.3,3577.562206,4293.00708,20.61383417,347.0588235,28.81355932,20.14607339,68.88041489
D05,Whsc1l1.1,1088.040689,4711.771313,58.33333333,300,33.33333333,33.04559055,49.72551735
D06,Whsc1.2,2318.590955,3174.745786,27.27272727,440,22.72727273,22.19510668,69.74800404
D07,Dpy30.2,4154.168864,4904.088927,23.80952381,233.3333333,42.85714286,25.6629832,128.9295427
D08,Cbx2.1,3454.35354,3657.804138,18.82960413,325.3079507,30.74010327,21.9273068,66.68953536
D09,Zmynd11.2,3689.348456,3803.425528,21.05602061,315.6504065,31.68061816,20.10617995,65.26143308
D10,Wbp7.3,2767.284893,3596.142476,19.81687377,406.6489362,24.5912361,25.83738665,62.74083812
D11,Eaf1.2,3421.681522,4491.424033,20.89508002,262.9773967,38.0260818,23.01501485,65.45729695
E02,Zmynd8.2,4255.505614,4829.922148,24.31192661,218.3639399,45.79510703,18.39424204,59.34861087
