,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 19,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:46:22 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
B02,Wbp7.1,B02,Sample,541,2576,738,7774,9873.232943,8260.557473,3181.019318,3319.595185,1576.540086,1404.766879,3238.155098,3790.550922,29.02033272,21.00271003,18.09006211,22.40932642,3.327171904,424.3822076,7.859078591,23.5636646,0.369685767,4.79410848,7.36928434,19.15982762,55.16227176,57.43445056,56.67704041
B03,Arid1b.1,B03,Sample,539,3113,1216,8928,8298.592805,6917.845247,3323.649538,2944.611827,1655.351616,1842.400115,4170.507279,3562.569199,23.37662338,23.93092105,16.25441696,20.53333333,2.782931354,458.4683358,9.210526316,21.81175715,0.371057514,5.358020631,10.39455968,20.19022269,53.76836786,94.97465187,77.16154454
B04,Brd7.2,B04,Sample,696,2473,1170,8478,6157.948068,6248.048908,2605.978076,2423.255363,1746.324976,1556.883994,3420.326391,3543.613004,30.45977011,24.27350427,16.41730691,22.37882434,3.735632184,378.7136294,11.53846154,26.4051759,0.287356322,8.774468696,12.26155876,23.48246808,54.8027174,90.27490549,65.7407068
B05,Actb,B05,Sample,1765,2141,1095,12404,8939.913064,5565.62439,2702.597378,3664.636451,2095.745421,3004.228736,3859.783263,4607.666396,26.06232295,17.62557078,9.294722092,20.46990666,6.57223796,170.190779,15.98173516,58.75758991,0.226628895,5.811846427,14.31536494,25.59938208,44.36427216,77.92814931,63.00293664
B06,Wdr82.1,B06,Sample,965,2011,796,8817,9893.731462,4061.319951,2443.495915,4056.706175,2079.414229,981.7922178,1492.013482,4411.644769,28.70466321,14.07035176,6.613625062,17.00489853,4.974093264,366.9708029,11.93467337,27.25012432,0.207253886,4.97985825,11.30709816,38.37138749,45.37134912,56.28187294,64.692879
B07,Eaf1.1,B07,Sample,1289,2194,1234,10147,9411.454027,8099.155371,3604.434047,3654.530002,1897.508542,1740.597731,3874.094957,4335.911505,27.38557021,20.82658023,16.31722881,21.59388646,4.422032583,280.2043423,13.29011345,35.68824066,0.698215671,5.206661246,8.257834355,19.99200189,51.35636747,74.64558223,62.94116694
B08,Cecr2.1,B08,Sample,701,2001,1140,8709,8739.986891,8160.416831,4066.313486,3161.775782,1852.959906,1873.396356,3609.76284,4017.80965,27.38944365,29.47368421,19.89005497,20.73204043,8.273894437,244.0243902,14.21052632,40.97951024,0.713266762,6.052618766,10.24735962,17.44756632,56.75575136,99.89193016,74.98084723
B09,Zmynd11.1,B09,Sample,2027,1224,947,11857,6067.059929,5588.824877,3519.093642,2479.113406,1594.76036,1689.314718,3333.860271,3610.209135,26.0976813,21.11932418,18.30065359,19.35977945,5.27873705,323.8095238,13.19957761,30.88235294,0.88801184,8.140450589,12.60901294,25.25185327,48.88879685,67.92296829,64.43179553
B10,Wdr5.1,B10,Sample,1081,1392,776,8147,9233.402851,8222.877499,4504.37446,3874.078079,2554.48507,1897.689059,3968.689067,4534.17125,27.38205365,25.6443299,16.52298851,20.51700047,7.03052729,233.1658291,16.10824742,42.88793103,0.832562442,6.494035486,11.90104174,23.81435975,75.14270237,89.6628071,90.16146799
B11,Chd7.2,B11,Sample,683,2582,1095,8639,3973.896775,3348.358994,1852.266947,1801.55357,1932.845837,1740.99631,2889.195225,3283.140965,30.45387994,25.84474886,15.6855151,23.46317712,3.660322108,386.5269461,12.05479452,25.87141751,0.439238653,7.536594918,14.26550679,28.13388638,47.98591972,58.85660531,52.03869538
