Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+
B02,Smyd4.1,5246.633687,4570.55601,23.01564723,427.6155718,23.38549075,14.00619582,55.99584862
B03,Suv39h2.1,2829.51538,3737.45667,22.51049218,247.0311027,40.48073254,22.66113169,64.04153467
B04,Suv420h1.1,3897.696525,3626.023192,18.44746163,544.6945338,18.35891381,20.65108549,56.14358735
B05,Suv39h1.1,3590.641606,4330.128318,15.76253838,368.6792453,27.12384852,15.69606132,51.86773784
B06,Sp100.1,3628.122781,4029.557512,18.4719239,431.0846561,23.19729979,19.65778333,54.48323426
B07,Tcea1.1,4131.714612,4446.9328,22.14930271,400.3284072,24.97949139,18.40968624,56.05725356
B08,Suz12.1,2461.313045,4368.133021,22.77477477,307.6496674,32.5045045,28.72113767,60.79043274
B09,Ssrp1.1,2918.936822,4238.682366,17.11038961,390.3675539,25.61688312,22.24363353,52.14383485
B10,Smyd5.1,3012.583746,3097.625833,22.08718626,539.1737892,18.54689564,22.06393032,51.83569832
B11,Taf1.1,4293.749729,2691.840195,17.86846276,393.7597504,25.39619651,18.67115913,54.10322066
C02,Suz12.2,3583.487664,3526.920511,25.40069686,295.2674897,33.86759582,23.21143715,59.30941731
C03,Sp110.1,3642.10595,3900.645462,20.4620462,402.8064993,24.82581591,19.58624271,57.40757746
C04,Smyd4.2,3523.776045,3894.293923,20.39254824,344.3298969,29.04191617,19.16759187,55.90814151
C05,Taf1.2,3916.383315,2472.665101,18.71886121,331.3679245,30.17793594,19.54034123,48.83736344
C06,Suv420h2.1,4015.892274,4476.456482,23.89006342,572.1774194,17.47709655,17.40074559,55.1058115
C07,Suv420h1.2,3504.532733,4182.797869,16.42718447,318.2941904,31.41747573,19.70068675,63.9403704
C08,Sp100.2,2753.391797,3169.240817,16.57932349,263.6934673,37.92282039,28.81352612,57.67464965
C09,Taf3.1,2991.118347,2017.322241,20.80766598,262.7697842,38.05612594,21.37759047,38.90247956
C10,Suv39h2.2,4191.242644,4744.660165,16.58711217,436.4583333,22.91169451,18.99039277,58.87859923
C11,Supt16h.1,4678.624375,4266.586049,23.48837209,513.9442231,19.45736434,18.45737928,57.9042145
D02,Smyd5.2,5242.756076,5573.426073,21.77894048,576.9811321,17.33158927,16.35741605,86.54109906
D03,Taf3.2,3640.85386,3366.156926,21.53261558,347.032967,28.81570614,17.57138149,50.08725707
