Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
B02,Wbp7.1,8260.557473,1404.766879,21.00271003,7.859078591,7.36928434,57.43445056
B03,Arid1b.1,6917.845247,1842.400115,23.93092105,9.210526316,10.39455968,94.97465187
B04,Brd7.2,6248.048908,1556.883994,24.27350427,11.53846154,12.26155876,90.27490549
B05,Actb,5565.62439,3004.228736,17.62557078,15.98173516,14.31536494,77.92814931
B06,Wdr82.1,4061.319951,981.7922178,14.07035176,11.93467337,11.30709816,56.28187294
B07,Eaf1.1,8099.155371,1740.597731,20.82658023,13.29011345,8.257834355,74.64558223
B08,Cecr2.1,8160.416831,1873.396356,29.47368421,14.21052632,10.24735962,99.89193016
B09,Zmynd11.1,5588.824877,1689.314718,21.11932418,13.19957761,12.60901294,67.92296829
B10,Wdr5.1,8222.877499,1897.689059,25.6443299,16.10824742,11.90104174,89.6628071
B11,Chd7.2,3348.358994,1740.99631,25.84474886,12.05479452,14.26550679,58.85660531
C02,Cecr2.2,11411.8153,1794.057615,24.96962333,10.93560146,6.512300512,64.73401825
C03,Whsc1.1,10972.10486,1610.140668,26.94063927,10.3196347,6.881483946,104.5015591
C04,Wbp7.2,8960.458112,2242.941726,29.41874259,10.67615658,9.091425253,88.80142958
C05,Chd7.3,7989.648527,2528.291751,25.40792541,12.8982129,9.146093407,58.99665754
C06,Brdt.3,7811.272568,1995.009556,29.63604853,11.6117851,9.170505974,117.8591389
C07,Brd7.3,6986.482852,2293.144435,29.44664032,12.1541502,9.801044013,87.10972229
C08,Wdr82.2,5127.947348,1267.496511,21.37681159,14.85507246,11.19628455,81.92931092
C09,Clock.3,5694.559477,2131.684563,29.31188561,12.95799821,12.96255172,111.7772654
C10,Arid1b.2,5676.290488,2732.498947,31.7535545,11.94312796,11.9878396,113.4601238
C11,Zmynd8.1,4689.229195,2080.564578,28.58312858,16.95331695,15.26845323,90.636004
D02,Wdr5.2,11395.80176,2345.939793,30.88235294,18.1372549,10.35013539,58.31112285
D03,Dpy30.1,9269.124629,2033.570853,35.11326861,15.53398058,9.941880147,46.5790145
D04,Arid1b.3,8796.003931,2105.779001,29.04109589,11.14155251,7.8521782,72.4001039
D05,Whsc1l1.1,10774.59856,3796.399819,42.85714286,7.142857143,9.326894682,80.15570861
D06,Whsc1.2,8071.914843,1117.028069,42.10526316,26.31578947,39.46528367,224.255003
D07,Dpy30.2,7559.459389,4924.838949,46.15384615,0,16.05403096,138.92158
D08,Cbx2.1,7440.337771,1711.801719,28.40236686,11.47928994,11.54698906,78.50062362
D09,Zmynd11.2,6325.806113,2212.057438,32.58983891,10.40892193,10.16418643,80.6401589
D10,Wbp7.3,6851.875348,2167.916137,31.56216791,13.2837407,11.03527888,76.60780603
D11,Eaf1.2,7443.125978,2649.942617,29.84574111,12.00536553,12.88641839,76.00319547
E02,Zmynd8.2,9509.686887,3284.770119,30.62787136,17.45788668,7.874213064,79.6342155
E03,Actl6a,7662.613637,1834.01202,20.35541195,21.64781906,6.772134826,79.1427495
E04,Wbp7.4,9611.380315,1719.96731,30.4107425,11.45339652,7.528018225,69.9333757
E05,Cecr2.3,9326.434578,2785.907667,34.44753946,14.94893222,7.143342418,83.43862897
E06,Brdt.1,6369.594187,2475.157788,25.777332,10.53159478,10.94135078,74.19098678
E07,Whsc1l1.2,6457.398032,1581.463811,32.83983849,15.00672948,11.7900488,84.24510826
E08,Wdr5.3,11849.66474,3188.156328,37.73913043,24.69565217,10.86078216,98.54035343
E09,Clock.1,5823.232088,2039.727868,27.84810127,13.79746835,14.61499939,91.4364582
E10,Cbx2.2,6247.646123,1796.219321,26.10410095,12.06624606,11.69433575,77.70222873
E11,Zmynd11.3,7496.785252,2055.803349,27.3960217,10.75949367,11.30138291,102.0277301
F02,Wdr82.3,6172.223985,2133.972904,24.34285714,9.714285714,8.737622722,50.54199839
F03,Eaf1.3,10507.75839,2204.378282,23.47560976,13.79573171,8.175197852,62.26731901
F04,Brdt.2,5240.958347,1828.666123,22.68258427,16.15168539,10.74285863,46.17386886
F05,Whsc1l1.3,9360.351803,2963.869435,39.57345972,12.79620853,8.249522943,72.22327504
F06,Whsc1.3,7792.269776,1087.132702,28.98259705,9.170013387,10.96750344,105.2489478
F07,Chd7.1,4544.303471,2355.793136,28.23290454,8.598510494,12.33442794,36.68664028
F08,Arid1a.1,6647.284444,2048.895322,27.17528373,11.60151324,12.42792326,89.188048
F09,Zmynd8.3,8234.660911,2604.871793,32.48587571,14.47740113,12.05064891,112.8277277
F10,Whsc1.4,7883.894708,1111.457758,28.2932417,9.049255441,10.20869272,113.7862637
F11,Clock.2,6852.169581,2087.490014,26.71814672,9.806949807,13.51217654,88.04180265
G02,Cbx2.3,8971.990615,1852.769095,24.60202605,12.01157742,9.820762572,67.09793534
G03,Zmynd8.4,10972.28063,3323.716718,32.81519862,14.68048359,8.495401602,101.8184697
G04,Wdr5.4,12392.60492,2478.976453,36.70520231,16.04046243,10.342885,90.09784505
G05,Fbxo17.1,7925.984382,1784.50716,32.11180124,11.49068323,11.70134243,67.38461668
G06,Dpy30.3,8489.134494,2864.479865,36.59217877,10.33519553,11.17783347,76.72184717
G07,Whsc1l1.4,5218.637253,2514.089064,35.49032688,12.6084056,16.91641736,70.51464056
G08,Wdr82.4,3341.913851,1698.206432,22.8362878,11.26173097,10.01021182,40.75418888
G09,Brd7.1,9580.709605,2244.42965,29.28416486,10.30368764,10.61669638,100.0756883
G10,Zmynd11.4,3722.913915,4842.780939,26.13160898,0.488864747,60.42604717,
G11,Arid1a.2,3907.626196,4576.442797,31.31716303,0.109170306,76.83677767,
