,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 21,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:47:30 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
E07,Smarcc1.3,E07,Sample,3936,3,24,9318,10764.35461,13212.05424,1362.792585,4469.985984,2900.537386,5571.019668,4083.943937,4463.776909,34.14634146,66.66666667,0,24.49799197,6.37703252,NaN,20.83333333,0,0.889227642,7.195775634,35.29357111,85.26845423,98.41097972,278.6248874,120.2301986
E08,Setd3.3,E08,Sample,1201,1485,1316,7395,10552.14811,9192.86869,4091.856047,3995.926306,2666.95662,2315.499091,3920.566046,4327.236473,35.63696919,31.83890578,23.83838384,29.94712991,5.079100749,261.9047619,13.14589666,38.18181818,0.74937552,6.66893458,11.76874298,28.23665888,67.34532181,77.12187682,66.02953611
E11,Smyd1.2,E11,Sample,506,1825,1235,5961,11961.67122,12300.70615,5938.672955,5771.612317,2268.258199,2156.656834,4158.292038,4669.13098,38.14229249,24.37246964,20.82191781,29.51885566,5.533596838,252.0718232,11.25506073,39.67123288,0.395256917,5.298071382,8.282233819,22.11258528,66.50353337,84.2206878,82.95685908
F02,Smarca2.1,F02,Sample,1184,1546,1710,8857,10085.45025,11535.23021,5103.852545,4104.58303,2030.019344,1871.268808,3313.831563,3989.777018,31.84121622,25.84795322,20.18111255,25.50660793,5.574324324,221.1731044,16.60818713,45.21345408,0.929054054,6.305928252,9.609917384,25.20999091,54.86671327,88.66774874,67.91481249
F05,Smarcd2.1,F05,Sample,5933,41,97,13553,9294.687755,7632.767816,3999.291125,4028.431059,2588.594197,4716.81689,2656.146373,4152.119616,31.40064049,41.2371134,4.87804878,23.72732077,8.410584864,341.6666667,20.6185567,29.26829268,0.859598854,8.223715457,15.76035849,30.61022858,90.23584827,220.1335394,137.6679411
F06,Smarcb1.2,F06,Sample,297,989,893,4034,6744.487036,7017.011397,3359.942468,2519.815352,2279.347554,1719.072417,3108.768967,3069.304216,30.97643098,31.3549832,24.06471183,30.38167939,3.703703704,232.1596244,11.64613662,43.07381193,0.673400673,8.315263672,15.60076282,30.03853505,70.38404353,112.1282191,83.26509385
F10,Smarcc1.1,F10,Sample,940,1835,1776,8659,9905.756802,8157.485709,3930.910307,4027.678078,2387.573681,2415.970172,3539.531676,3715.798303,35.31914894,23.87387387,16.73024523,24.26916713,3.829787234,319.6864111,11.65540541,31.28065395,0.531914894,6.428894405,13.58254836,25.88141226,74.06866773,142.4536,111.1919733
G04,Setd7.1,G04,Sample,1046,2783,1923,10827,8798.657927,9867.332379,4449.412302,3630.562483,2158.04709,2142.073606,3969.408006,3707.46411,32.791587,27.1450858,20.48149479,25.68839317,4.684512428,290.198123,14.0925637,34.45921667,0.382409178,7.632562787,13.1986675,29.00980054,60.51394163,109.4462874,85.59746582
G07,Smarcd2.2,G07,Sample,3077,2025,1570,14062,11473.08247,9376.66112,3696.579943,4612.141419,2492.470933,2780.588974,4036.141286,4299.313496,37.69905752,31.46496815,21.2345679,29.95831886,6.142346441,185.1005484,17.38853503,54.02469136,0.714982125,6.576772492,13.29801853,32.04926148,65.23764561,115.170034,108.8137971
G08,Smarca2.2,G08,Sample,1711,2270,2006,11496,10626.38259,10604.98093,4973.896897,4254.20724,2783.168248,2280.165605,3888.588028,4386.300692,36.29456458,29.5114656,24.40528634,28.6588759,5.786090006,288.071066,13.06081755,34.71365639,0.64289889,7.581973341,12.2162654,27.06251537,71.16179229,93.01449779,70.47927826
G10,Smyd1.3,G10,Sample,1222,1247,1229,7907,11864.44258,8714.971593,3882.211222,4555.205713,2512.378462,1686.832638,3655.536367,4748.772481,34.28805237,28.23433686,23.49639134,28.95337463,4.746317512,248.4063745,16.02929211,40.25661588,0.245499182,6.201064946,11.10191633,28.97554412,59.19989658,70.19006088,59.73745211
