shRNA,count
Actb,14
Actl6a,323
Actl6b.1,68
Actl6b.2,18649
Actl6b.3,5793
Actl6b.4,10189
Aff1.1,1800
Aff1.2,106
Aff1.3,27267
Aff1.4,1816
Aff4.1,167
Aff4.2,21662
Aff4.3,23831
Aff4.4,19949
Arid1a.1,4
Arid1a.2,1
Arid1b.1,0
Arid1b.2,0
Arid1b.3,60
Arid2.1,57390
Arid2.2,95563
Arid2.3,9531
Arid2.4,11468
Ash1l.1,54961
Ash1l.2,18122
Ash1l.3,3340
Ash1l.4,21091
Ash2l.1,29238
Ash2l.2,15763
Ash2l.3,6696
Ash2l.4,0
Asxl1.1,1426
Asxl1.2,25737
Asxl1.3,2308
Asxl1.4,29234
Asxl2.1,82369
Asxl2.2,14189
Asxl2.3,21404
Asxl3.2,80029
Asxl3.3,8252
Asxl3.4,74985
Atad2.1,34406
Atad2.2,4582
Atad2.3,43513
Atad2.4,17797
Atad2b.1,64007
Atad2b.2,12335
Atad2b.3,45366
Atad2b.4,26307
Atm.1,1537
Atm.2,21715
Atm.3,21998
Atm.4,11633
Atr.1,30333
Atr.2,30945
Atr.3,59749
Atr.4,1435
Atrx.1,1524
Atrx.2,16056
Atrx.3,74968
Atrx.4,32383
Aurkb.1,28860
Aurkb.2,85
Aurkb.3,5946
Aurkb.4,14637
Baz1a.1,4956
Baz1a.2,39991
Baz1a.3,0
Baz1a.4,55982
Baz1b.1,68197
Baz1b.3,22614
Baz1b.4,891
Baz2a.1,32245
Baz2a.3,0
Baz2a.4,8480
Baz2b.1,158612
Baz2b.2,60983
Baz2b.3,6221
Baz2b.4,28438
Bcl6.2,69365
Bcl6.3,3903
Bmi1.1,29364
Bmi1.2,4256
Bmi1.3,393
Bmi1.4,173386
Bop1.1,4731
Bop1.2,18342
Bop1.3,4885
Bop1.4,66
Bptf.1,1333
Bptf.2,9881
Bptf.3,7446
Bptf.4,11380
Brd1.1,28103
Brd1.2,151615
Brd1.3,2166
Brd1.4,4318
Brd2.1,1905
Brd2.2,1881
Brd2.3,4405
Brd2.4,2582
Brd3.1,19878
Brd3.2,91082
Brd3.3,3601
Brd3.4,2810
Brd4.1,12610
Brd4.2,10467
Brd4.3,2138
Brd4.4,59494
Brd7.1,9
Brd7.2,0
Brd7.3,2
Brd8.1,35379
Brd8.2,648
Brd8.3,25867
Brd8.4,41675
Brd9.2,4243
Brd9.3,33921
Brd9.4,3518
Brdt.1,28
Brdt.2,0
Brdt.3,1
Brpf1.1,19
Brpf1.2,18329
Brpf1.3,34685
Brpf1.4,3295
Brpf3.1,32357
Brpf3.2,0
Brpf3.3,16583
Brpf3.4,2530
Brwd1.1,92368
Brwd1.2,1950
Brwd1.3,38895
Brwd1.4,23493
Brwd3.1,52862
Brwd3.2,26572
Brwd3.3,9180
CD4.1,4481
CD4.2,854
CD4.3,5286
CD4.4,120752
Carm1.1,1095
Carm1.2,74651
Carm1.3,2657
Carm1.4,2274
Cbx1.1,12862
Cbx1.2,63917
Cbx1.3,5035
Cbx1.4,47971
Cbx2.1,4791
Cbx2.2,37686
Cbx2.3,1686
Cbx3.2,1167
Cbx3.3,80577
Cbx3.4,144841
Cbx4.1,3236
Cbx4.2,177324
Cbx4.3,1989
Cbx4.4,6890
Cbx5.1,108295
Cbx5.2,137231
Cbx5.3,1991
Cbx5.4,16841
Cbx6.1,4387
Cbx6.2,10817
Cbx6.3,445
Cbx6.4,3826
Cbx7.1,1349
Cbx7.2,7916
Cbx7.3,34987
Cbx7.4,7839
Cbx8.1,12348
Cbx8.2,40938
Cbx8.3,5457
Cbx8.4,14929
Cd14,6617
Cd14.2,6037
Cd4.5,3255
Cecr2.1,0
Cecr2.2,139
Cecr2.3,3
Chaf1a.1,5275
Chaf1a.2,35
Chaf1a.3,8764
Chaf1a.4,9672
Chaf1b.1,38386
Chaf1b.2,3029
Chaf1b.3,1535
Chaf1b.4,29503
Chd1.1,36718
Chd1.2,16113
Chd1.4,12740
Chd1l.1,13374
Chd1l.2,16659
Chd1l.3,35373
Chd2.1,15702
Chd2.2,22707
Chd2.3,6804
Chd2.4,29019
Chd3.1,61544
Chd3.2,8902
Chd3.3,5959
Chd3.4,10660
Chd4.1,2047
Chd4.2,15698
Chd4.3,18471
Chd4.4,29610
Chd5.1,42030
Chd5.2,5606
Chd5.3,4717
Chd5.4,3177
Chd6.1,9771
Chd6.2,10168
Chd6.3,11010
Chd6.4,4570
Chd7.1,58
Chd7.2,1143
Chd7.3,0
Chd8.1,23401
Chd8.2,146749
Chd8.3,16189
Chd8.4,13420
Chd9.1,50180
Chd9.2,3374
Chd9.3,56797
Chd9.4,157425
Clock.1,5
Clock.2,32
Clock.3,0
Crebbp.1,21306
Crebbp.2,9285
Crebbp.3,95773
Crebbp.4,9091
Ctsl.1,46668
Ctsl.2,21418
Ctsl.3,17195
Ctsl.4,7712
Cxxc1.1,2547
Cxxc1.2,472
Cxxc1.3,12070
Cxxc1.4,52531
Dmap1.1,2518
Dmap1.2,7635
Dmap1.3,15189
Dmap1.4,17327
Dnmt1.1,0
Dnmt1.2,89817
Dnmt1.3,0
Dnmt1.4,1489
Dnmt3a.1,50486
Dnmt3a.2,27344
Dnmt3a.3,21637
Dnmt3a.4,107350
Dnmt3b.1,12366
Dnmt3b.2,132846
Dnmt3b.3,21399
Dnmt3b.4,68014
Dnmt3l.1,17969
Dnmt3l.2,3903
Dnmt3l.3,13987
Dnmt3l.4,13944
Dot1l.1,39412
Dot1l.2,6826
Dot1l.3,18540
Dot1l.4,17105
Dpy30.1,0
Dpy30.2,4341
Dpy30.3,0
Dub2a.1,19220
Dub2a.2,88
Dub2a.3,10709
Dub2a.4,25532
Eaf1.1,7661
Eaf1.2,12
Eaf1.3,2
Eed.1,0
Eed.2,25035
Eed.3,13009
Eed.4,26339
Ehmt1.1,8332
Ehmt1.2,12729
Ehmt1.3,1100
Ehmt1.4,9754
Ehmt2.1,36946
Ehmt2.2,29480
Ehmt2.3,55802
Ehmt2.4,9593
Elp3.1,2954
Elp3.2,12191
Elp3.4,8687
Elp4.1,28192
Elp4.2,4544
Elp4.3,15620
Ep300.2,7650
Ep300.3,2894
Ep400.1,30126
Ep400.2,20795
Ep400.3,109
Ep400.4,0
Epc1.1,4422
Epc1.2,8306
Epc1.3,68775
Epc1.4,932
Epc2.1,24424
Epc2.2,33723
Epc2.3,49685
Epc2.4,113552
Ercc5.1,50446
Ercc5.2,12977
Ercc5.3,4790
Ercc5.4,2127
Ezh1.2,257774
Ezh1.3,28807
Ezh1.4,30834
Ezh2.1,663
Ezh2.2,4020
Ezh2.3,3121
Ezh2.4,38444
Fbxl19.1,33269
Fbxl19.2,8373
Fbxl19.3,872
Fbxl19.4,84
Fbxo17.1,0
Fbxo17.2,1
Fbxo17.3,0
Fbxo44.1,14153
Fbxo44.2,8552
Fbxo44.3,238
Fbxo44.4,803
Fbxw9.1,13819
Fbxw9.2,4001
Fbxw9.3,2280
Fbxw9.4,313
Fkbp1a.1,78707
Fkbp1a.3,12099
Fkbp1a.4,52037
Fkbp2.1,0
Fkbp2.2,0
Fkbp2.3,10535
Fkbp5.1,61
Fkbp5.2,83
Fkbp5.3,1
Fosb,1534
Fosb.2,36237
Gadd45a.1,3891
Gadd45a.2,4458
Gadd45a.3,8604
Gadd45a.4,9
Gadd45b.1,6051
Gadd45b.2,36680
Gadd45b.3,28322
Gadd45b.4,13678
Gtf2b.1,124627
Gtf2b.2,872
Gtf2b.3,428
Gtf2b.4,4300
Gtf2f1.1,847
Gtf2f1.2,8979
Gtf2f1.3,15220
Gtf2f1.4,406
Gtf2h1.1,1
Gtf2h1.2,13235
Gtf2h1.3,1590
Gtf3c4.1,19972
Gtf3c4.2,18083
Gtf3c4.3,0
Gtf3c4.4,33925
H2afz.1,3
H2afz.2,5
H2afz.3,194
Hat1.1,25132
Hat1.2,220
Hat1.4,4068
Hcfc1.1,1013
Hcfc1.2,9
Hcfc1.3,7573
Hcfc1.4,2279
Hdac1.1,9
Hdac1.2,508
Hdac1.3,54
Hdac1.4,1910
Hdac10.1,7
Hdac10.2,20548
Hdac10.3,1950
Hdac10.4,7909
Hdac11.1,17
Hdac11.2,0
Hdac11.3,144
Hdac2.1,114972
Hdac2.2,61363
Hdac2.3,35580
Hdac2.4,22361
Hdac3.1,2
Hdac3.2,2547
Hdac3.3,4176
Hdac3.4,7623
Hdac4.1,765
Hdac4.2,243
Hdac4.3,8739
Hdac4.4,13080
Hdac5.1,0
Hdac5.2,1
Hdac5.3,0
Hdac6.1,6583
Hdac6.2,6221
Hdac6.3,19364
Hdac6.4,53989
Hdac7.1,9287
Hdac7.2,93476
Hdac7.3,229
Hdac7.4,3133
Hdac8.1,22719
Hdac8.2,11853
Hdac8.3,19884
Hdac8.4,90267
Hdac9.2,23421
Hdac9.3,1295
Hells.1,62053
Hells.2,80709
Hells.3,0
Hes1,51
Hes1.2,26657
Hes1.3,1716
Hes6,21313
Hes6.3,1351
Hira.1,18948
Hira.2,47842
Hira.3,2774
Hira.4,76744
Hltf.1,0
Hltf.2,9951
Hltf.4,8064
Id2,80
Id2.2,4152
Id2.3,7256
Id2.4,23041
Id2.5,7099
Id3,5219
Id3.2,10411
Id3.3,55591
Id3.4,3497
Id3.5,22
Ing2.1,38815
Ing2.2,17666
Ing2.3,7776
Ing2.4,6704
Ing3.1,6996
Ing3.2,3661
Ing3.3,56736
Ing3.4,12337
Ing4.1,12024
Ing4.2,2983
Ing4.3,63094
Ing4.4,3168
Ing5.1,3516
Ing5.2,77805
Ing5.3,19076
Ing5.4,3
Ino80.1,17885
Ino80.2,66176
Ino80.3,22482
Ino80.4,21937
Iws1.1,0
Iws1.2,0
Iws1.3,3
Jarid2.1,77019
Jarid2.2,186369
Jarid2.3,14350
Jarid2.4,35699
Jhdm1d.1,38459
Jhdm1d.2,10237
Jhdm1d.3,10243
Jhdm1d.4,5890
Jmjd1c.2,98121
Jmjd1c.3,1336
Jmjd1c.4,43838
Jmjd4.1,5801
Jmjd4.2,50936
Jmjd4.3,6921
Jmjd4.4,1143
Klf12,190
Klf12.4,3931
Klf12.5,20203
Klf2,4462
Klf2.2,287
Klf2.3,18449
Klf2.4,7776
Klf2.5,1
Klf2.6,17858
Klf2.7,133
Ms4a1,14401
Ms4a1.2,15195
Nfatc3.2,118415
Nfatc3.3,1189
Nfatc3.7,1
Nfatc3.8,0
Runx3,1082
Runx3.2,430
Runx3.3,4665
Tbx21,30740
Tbx21.3,4206
Tbx21.4,3451
