type,shRNA,count,ZScore
target,Smarcb1.2,827563,16.37046804005241
target,Tet3.2,325501,6.332696698395768
target,Zmynd11.3,187492,3.5734701783829186
target,Taf1.2,123832,2.3007099941629185
target,Sp100.1,109399,2.0121497092297225
target,Sirt1.2,91351,1.651314399697794
target,Smarcd1.2,90111,1.6265229666404142
target,Setd5.2,63184,1.088169000562941
target,Setd5.4,53880,0.9021532802678909
target,Sp140.1,41437,0.6533792467735545
target,Supt16h.4,36715,0.558971870243758
target,Whsc1l1.4,33940,0.503491042232283
target,Setdb1.2,31934,0.46338490133461857
target,Ube2a.1,26489,0.3545225198850757
target,Ube2a.2,23915,0.30306030319983723
target,Suv39h2.3,22817,0.2811078890893509
target,Whsc1.4,20988,0.24454052532971565
target,Smarcc2.4,17556,0.17592423641606436
target,Smyd5.1,16180,0.14841374295884288
target,Setmar.2,15228,0.12938032015995127
target,Taf1.3,15100,0.12682120448951206
target,Setd2.3,14729,0.11940376766347341
target,Smarce1.4,14549,0.11580501125191828
target,Smarca5.1,13904,0.1029094674438457
target,Wdr82.2,13717,0.09917075939406342
target,Taf3.1,11403,0.052906746414404605
target,Trim24.3,10745,0.03975129242105305
target,Smarca4.3,10674,0.0383317829476063
target,Smarca1.1,10476,0.03437315089489565
target,Whsc1l1.2,10232,0.029494836648120904
target,Sirt1.1,9963,0.024116695121963506
target,Setdb1.1,9704,0.01893848450755917
target,Sfmbt1.3,9688,0.01861859504875427
target,Satb1.3,9635,0.017558961216463033
target,Trim28.3,9321,0.011281130587416852
target,Smarcc1.2,9291,0.010681337852157661
target,Sirt3.4,8963,0.00412360394665719
target,Smarcd3.3,8702,-0.0010945928500977586
target,Taf3.4,8661,-0.0019143095882853177
target,Smarcd1.1,8476,-0.005613031455716986
target,Ube2b.4,8275,-0.009631642781953555
target,Tet2.3,8164,-0.011850875902412556
target,Sin3a.2,7733,-0.02046789819896958
target,Zmynd11.4,7608,-0.022967034595882868
target,Whsc1l1.3,7598,-0.02316696550763593
target,Smarcd1.4,7138,-0.03236378744827684
target,Suz12.3,7039,-0.03434310347463216
