shRNA,count
Actb,1
Actl6a,81
Actl6b.1,5
Actl6b.2,6136
Actl6b.3,629
Actl6b.4,2017
Aff1.1,479
Aff1.2,95
Aff1.3,4163
Aff1.4,2291
Aff4.1,2073
Aff4.2,8881
Aff4.3,4624
Aff4.4,2448
Arid1a.1,1
Arid1a.2,0
Arid1b.1,1110
Arid1b.2,0
Arid1b.3,2
Arid2.1,7635
Arid2.2,29765
Arid2.3,9
Arid2.4,68
Ash1l.1,12851
Ash1l.2,4114
Ash1l.3,2147
Ash1l.4,2089
Ash2l.1,4953
Ash2l.2,1776
Ash2l.3,1129
Ash2l.4,128
Asxl1.1,252
Asxl1.2,2047
Asxl1.3,0
Asxl1.4,8558
Asxl2.1,17976
Asxl2.2,4200
Asxl2.3,1415
Asxl3.2,27059
Asxl3.3,1502
Asxl3.4,20618
Atad2.1,4624
Atad2.2,2054
Atad2.3,17468
Atad2.4,5815
Atad2b.1,27282
Atad2b.2,7161
Atad2b.3,8944
Atad2b.4,3042
Atm.1,778
Atm.2,4715
Atm.3,4386
Atm.4,3464
Atr.1,3874
Atr.2,6672
Atr.3,13491
Atr.4,461
Atrx.1,97
Atrx.2,736
Atrx.3,8541
Atrx.4,4781
Aurkb.1,3921
Aurkb.2,303
Aurkb.3,769
Aurkb.4,4458
Baz1a.1,839
Baz1a.2,5397
Baz1a.3,0
Baz1a.4,8099
Baz1b.1,2261
Baz1b.2,20685
Baz1b.3,5977
Baz1b.4,148
Baz2a.1,3906
Baz2a.3,0
Baz2a.4,1281
Baz2b.1,7958
Baz2b.2,5167
Baz2b.3,1055
Baz2b.4,2972
Bcl6.3,1869
Bmi1.1,5163
Bmi1.2,203
Bmi1.3,776
Bop1.1,545
Bop1.2,8287
Bop1.3,6672
Bop1.4,24
Bptf.1,187
Bptf.2,925
Bptf.3,1808
Bptf.4,129
Brd1.1,10290
Brd1.2,10039
Brd1.3,609
Brd1.4,6
Brd2.1,1382
Brd2.2,3611
Brd2.3,436
Brd2.4,469
Brd3.1,272
Brd3.2,38022
Brd3.3,1976
Brd3.4,2008
Brd4.1,795
Brd4.2,361
Brd4.3,398
Brd4.4,1300
Brd7.1,201
Brd7.2,0
Brd7.3,16
Brd8.1,3123
Brd8.2,241
Brd8.3,3688
Brd8.4,7010
Brd9.2,2341
Brd9.3,39128
Brd9.4,314
Brdt.1,7
Brdt.2,0
Brdt.3,71
Brpf1.1,1051
Brpf1.2,3150
Brpf1.3,7937
Brpf1.4,674
Brpf3.1,6959
Brpf3.2,1
Brpf3.3,904
Brpf3.4,1379
Brwd1.1,6979
Brwd1.2,250
Brwd1.3,2127
Brwd1.4,717
Brwd3.1,5795
Brwd3.2,6423
Brwd3.3,148
CD4.1,3886
CD4.2,334
CD4.3,1112
CD4.4,11116
CDK9.2,37
CDK9.3,24193
Carm1.1,624
Carm1.2,3365
Carm1.3,353
Carm1.4,642
Cbx1.1,8168
Cbx1.2,3837
Cbx1.3,655
Cbx1.4,8870
Cbx2.1,3187
Cbx2.2,5949
Cbx2.3,1754
Cbx3.2,468
Cbx3.3,14875
Cbx3.4,25770
Cbx4.1,887
Cbx4.2,3818
Cbx4.3,360
Cbx4.4,6096
Cbx5.1,3326
Cbx5.2,16055
Cbx5.3,1
Cbx5.4,3929
Cbx6.1,0
Cbx6.2,1575
Cbx6.3,15
Cbx6.4,6
Cbx7.1,2014
Cbx7.2,21
Cbx7.3,7497
Cbx7.4,352
Cbx8.1,384
Cbx8.2,7140
Cbx8.3,5307
Cbx8.4,1480
Ccnt1,38472
Ccnt1.2,57663
Ccnt1.3,10520
Ccnt1.4,8666
Cd14,1469
Cd14.2,3508
Cd19,6171
Cd19.3,320
Cd19.4,6580
Cd4.5,1
Cecr2.1,18
Cecr2.2,13
Cecr2.3,0
Chaf1a.1,2183
Chaf1a.2,0
Chaf1a.3,129
Chaf1a.4,827
Chaf1b.1,8482
Chaf1b.2,25
Chaf1b.3,41
Chaf1b.4,4564
Chd1.1,32706
Chd1.2,4618
Chd1.3,17544
