shRNA,count,pctg,nbPctg
Bcl6,20460,0.37784010272227697,82.49469451292723
Bcl6.2,19109,0.3528908368973603,81.59994887952263
Bcl6.3,4522,0.0835089415694104,62.650705765730166
CD4.1,8159,0.15067435963397155,70.23318222494753
CD4.2,2040,0.03767320672304228,53.34497860477146
CD4.3,39352,0.7267235445907646,90.43413754247182
CD4.4,85694,1.5825332239825418,97.07748566602852
Cd14,23000,0.4247469385441041,84.00762835203665
Cd14.2,9917,0.1831397995452992,72.82857159920437
Fosb,6,0.00011080354918541847,15.68241844722285
Fosb.2,0,0.0,5.318615318472413
Hes1,1705,0.03148667522685642,51.41362485806516
Hes1.2,9419,0.17394310496290943,72.14053513727951
Hes1.3,8,0.00014773806558055795,16.666782450424527
Id2,0,0.0,5.318615318472413
Id2.2,1281,0.023656557751086844,48.463631038678216
Id2.3,18684,0.3450422521633931,81.30382469152698
Id2.4,4153,0.07669452329450716,61.60059782270474
Id2.5,384,0.007091427147866782,37.684913055996724
Id3,4839,0.08936306241804,63.49538806912187
Id3.2,6557,0.12108981200146482,67.36979117165902
Id3.3,24296,0.44868050516815455,84.70613076614019
Id3.4,1027,0.018965874168904127,46.28993382448582
Id3.5,465,0.008587275061869931,39.228597012571235
Klf12,6465,0.1193908242472884,67.18667748037825
Klf12.4,987,0.01822718384100134,45.9092850054462
Klf12.5,15772,0.29126559629207005,79.05371682801837
Klf2,681,0.012576202832544996,42.489919983824095
Klf2.2,729,0.013462631226028343,43.098560880074665
Klf2.3,0,0.0,5.318615318472413
Klf2.4,3033,0.05601119411322903,57.83437369164627
Klf2.5,0,0.0,5.318615318472413
Klf2.6,771,0.014238256070326274,43.60580764219788
Klf2.7,5,9.233629098784873e-05,15.105646437303689
Ms4a1,93213,1.7213885383700687,97.54573053658045
Ms4a1.2,4780,0.08827349418438339,63.341853291552894
Nfatc3.2,131491,2.4282782476566434,98.95004188983148
Nfatc3.3,380,0.007017558115076503,37.60204530378336
Nfatc3.7,0,0.0,5.318615318472413
Nfatc3.8,0,0.0,5.318615318472413
Rpa3.1,152,0.0028070232460306013,31.01432627546038
Rpa3.2,168,0.0031024993771917174,31.673537371773204
Rpa3.3,701,0.01294554799649639,42.747451265842315
Rpa3.4,144,0.0026592851804500433,30.6627093864855
Runx3,1069,0.01974149901320206,46.677511011753694
Runx3.2,3016,0.05569725072387035,57.76864956162054
Runx3.3,1213,0.0224007841936521,47.91851494924734
Satb1.1,1084,0.020018507886165604,46.8128843588467
Satb1.2,16408,0.3030107725057244,79.58125482829183
